Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
u2520302ctg	100	1.07	Gradient Boost (General Model)	11	0.843	942630	275.0963730569948	942630	0.41	965	1	942630	None
u2566882ctg	92.72	0.75	Gradient Boost (General Model)	11	0.908	796327	248.49743062692704	796327	0.35	973	1	796327	None
u2568513ctg	100	0.16	Gradient Boost (General Model)	11	0.837	1192806	279.5314333612741	1192806	0.42	1193	1	1192806	None
u2581970ctg	7.78	0	Neural Network (Specific Model)	11	0.879	140401	233.20224719101122	140401	0.48	178	1	140401	None
u26899ctg	10.06	0	Neural Network (Specific Model)	11	0.918	236478	262.8550724637681	236478	0.46	276	1	236478	None
u2712678ctg	93.76	0.31	Gradient Boost (General Model)	11	0.947	1840588	336.3998846	1840588	0.47	1733	1	1840588	None
u2778928ctg	97.76	1.88	Gradient Boost (General Model)	11	0.891	2399939	343.1341346153846	2399939	0.47	2080	1	2399939	None
u278313ctg	96.98	0.33	Gradient Boost (General Model)	11	0.893	958941	265.46530989824237	958941	0.4	1081	1	958941	None
u2899904ctg	96.88	0.02	Gradient Boost (General Model)	11	0.902	865696	266.80102040816325	865696	0.4	980	1	865696	None
u3021323ctg	15.26	0	Neural Network (Specific Model)	11	0.917	293656	339.9547169811321	293656	0.39	265	1	293656	None
u3118255ctg	100	1.88	Gradient Boost (General Model)	11	0.871	1987776	273.3914893617021	1987776	0.43	2115	1	1987776	None
u3132467ctg	95.92	0.05	Gradient Boost (General Model)	11	0.875	760364	281.9454314720812	760364	0.34	788	1	760364	None
u313865ctg	99.42	0.34	Gradient Boost (General Model)	11	0.907	624777	286.7201210287443	624777	0.35	661	1	624777	None
u3143509ctg	2.75	0	Neural Network (Specific Model)	11	0.895	101122	181.82035928143713	101122	0.62	167	1	101122	None
u3166817ctg	96.32	0.5	Gradient Boost (General Model)	11	0.918	2993186	352.8277585544022	2993186	0.49	2601	1	2993186	None
u3202660ctg	11.63	0.01	Neural Network (Specific Model)	11	0.951	470853	231.89164086687308	470853	0.65	646	1	470853	None
u3293539ctg	93.91	2.6	Gradient Boost (General Model)	11	0.856	799672	274.84615384615387	799672	0.39	832	1	799672	None
u3368318ctg	97.57	1.24	Gradient Boost (General Model)	11	0.865	2795509	283.7445690259285	2795509	0.44	2854	1	2795509	None
u3368720ctg	100	0.88	Gradient Boost (General Model)	11	0.885	2469010	286.37509788566956	2469010	0.39	2554	1	2469010	None
u3455502ctg	96.71	0.03	Gradient Boost (General Model)	11	0.908	637114	285.4874446085672	637114	0.36	677	1	637114	None
u3457852ctg	96.7	0	Gradient Boost (General Model)	11	0.862	1142602	302.48805147058823	1142602	0.29	1088	1	1142602	None
u348525ctg	23.13	0.01	Neural Network (Specific Model)	11	0.86	435639	262.84276729559747	435639	0.65	477	1	435639	None
u3502615ctg	99.85	1.98	Gradient Boost (General Model)	11	0.905	3850780	312.04556419190567	3850780	0.48	3731	1	3850780	None
u3513788ctg	99.28	7.78	Gradient Boost (General Model)	11	0.886	3579501	367.1522191400832	3579501	0.38	2884	1	3579501	None
u3531125ctg	99.29	5.3	Gradient Boost (General Model)	11	0.873	4445291	296.8820160366552	4445291	0.46	4365	1	4445291	None
u3591779ctg	100	0.01	Gradient Boost (General Model)	11	0.873	555788	292.3231046931408	555788	0.39	554	1	555788	None
u3593552ctg	98.56	0.28	Gradient Boost (General Model)	11	0.904	2977770	343.41113653699466	2977770	0.54	2622	1	2977770	None
u3656241ctg	15.96	0	Neural Network (Specific Model)	11	0.91	374246	328.7630057803468	374246	0.54	346	1	374246	None
u3662534ctg	43.81	0.07	Gradient Boost (General Model)	11	0.865	1109361	251.66666666666666	1109361	0.41	1278	1	1109361	None
u366348ctg	99.97	0.22	Gradient Boost (General Model)	11	0.896	1032745	305.2193675889328	1032745	0.45	1012	1	1032745	None
u3708645ctg	97.18	0.11	Gradient Boost (General Model)	11	0.862	695808	274.14500683994527	695808	0.38	731	1	695808	None
u3920757ctg	97.76	1.6	Gradient Boost (General Model)	11	0.82	1030376	319.8299319727891	1030376	0.35	882	1	1030376	None
u3942668ctg	13.93	0.1	Neural Network (Specific Model)	11	0.923	202636	258.30864197530866	202636	0.4	243	1	202636	None
u3959121ctg	96.03	0.27	Gradient Boost (General Model)	11	0.869	668897	269.16759002770084	668897	0.35	722	1	668897	None
u4000441ctg	18.21	0.12	Neural Network (Specific Model)	11	0.85	174876	258.75	174876	0.39	192	1	174876	None
u472454ctg	94.15	2.89	Gradient Boost (General Model)	11	0.878	1674549	251.7214541730671	1674549	0.45	1953	1	1674549	None
u576938ctg	70.83	3.87	Gradient Boost (General Model)	11	0.837	3597482	260.9595750194351	3597482	0.46	3859	1	3597482	None
u579948ctg	98.26	2.46	Gradient Boost (General Model)	11	0.871	944302	283.91012396694214	944302	0.35	968	1	944302	None
u598261ctg	62.43	1.08	Gradient Boost (General Model)	11	0.835	591088	264.25320512820514	591088	0.36	624	1	591088	None
u598341ctg	96.58	2.51	Gradient Boost (General Model)	11	0.929	1018962	305.33301158301157	1018962	0.42	1036	1	1018962	None
u646294ctg	95.58	0.17	Gradient Boost (General Model)	11	0.901	888802	270.48637739656914	888802	0.4	991	1	888802	None
u651212ctg	96.89	0.43	Gradient Boost (General Model)	11	0.901	1802986	299.31936017650304	1802986	0.48	1813	1	1802986	None
u735446ctg	100	0.78	Gradient Boost (General Model)	11	0.864	739118	262.4103194103194	739118	0.45	814	1	739118	None
u749713ctg	56.08	0.01	Gradient Boost (General Model)	11	0.905	652918	279.3615819	652918	0.41	708	1	652918	None
u749886ctg	96.07	1.13	Gradient Boost (General Model)	11	0.898	969107	267.80532598714416	969107	0.4	1089	1	969107	None
u771575ctg	37.89	0.52	Neural Network (Specific Model)	11	0.867	364916	283.20643431635386	364916	0.41	373	1	364916	None
u785650ctg	99.83	0.21	Gradient Boost (General Model)	11	0.851	742311	268.2401524777637	742311	0.38	787	1	742311	None
u811210ctg	70.07	0.92	Gradient Boost (General Model)	11	0.873	451564	272.9151138716356	451564	0.35	483	1	451564	None
u88731ctg	96.34	0.24	Gradient Boost (General Model)	11	0.924	1701256	354.8299595	1701256	0.39	1482	1	1701256	None
u909971ctg	4.68	0	Neural Network (Specific Model)	11	0.87	123833	280.1937984496124	123833	0.48	129	1	123833	None
u910645ctg	3.16	0.01	Neural Network (Specific Model)	11	0.898	115367	239.18620689655174	115367	0.35	145	1	115367	None
u915804ctg	5.06	0.34	Neural Network (Specific Model)	11	0.763	225349	299.0677083333333	225349	0.35	192	1	225349	None
u920218ctg	99.69	4.99	Gradient Boost (General Model)	11	0.925	891382	274.3922542204568	891382	0.39	1007	1	891382	None
u93406ctg	4.78	0.01	Neural Network (Specific Model)	11	0.79	121708	314.9313725490196	121708	0.35	102	1	121708	None
