Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ctg43093	98.27	0.35	Gradient Boost (General Model)	11	0.904	625921	282.37014925373137	625921	0.36	670	1	625921	None
ctg44129	100.0	1.71	Gradient Boost (General Model)	11	0.905	3850770	312.4877852348993	3850770	0.48	3725	1	3850770	None
ctg44955	93.7	0.04	Gradient Boost (General Model)	11	0.924	852778	283.02679528403	852778	0.4	933	1	852778	None
ctg46359	93.76	0.31	Gradient Boost (General Model)	11	0.947	1841125	336.0651672433679	1841125	0.47	1734	1	1841125	None
ctg494	96.54	0.04	Gradient Boost (General Model)	11	0.897	828917	275.79933481152995	828917	0.4	902	1	828917	None
ctg50176	90.86	0.93	Gradient Boost (General Model)	11	0.841	885626	259.5526590198123	885626	0.36	959	1	885626	None
ctg51018	95.14	0.08	Gradient Boost (General Model)	11	0.903	895718	295.2907103825137	895718	0.4	915	1	895718	None
ctg51504	94.76	0.04	Gradient Boost (General Model)	11	0.932	1210114	299.6359300476947	1210114	0.56	1258	1	1210114	None
ctg52242	98.4	0.29	Gradient Boost (General Model)	11	0.904	2977833	343.3217689668319	2977833	0.54	2623	1	2977833	None
ctg53095	28.67	0.01	Neural Network (Specific Model)	11	0.911	405222	283.45412844036696	405222	0.41	436	1	405222	None
ctg6072	93.93	1.97	Gradient Boost (General Model)	11	0.856	798709	272.76463560334525	798709	0.39	837	1	798709	None
ctg7091	100.0	1.96	Gradient Boost (General Model)	11	0.841	941303	280.1271186440678	941303	0.41	944	1	941303	None
ctg8139	6.09	0.0	Neural Network (Specific Model)	11	0.938	226694	378.27659574468083	226694	0.44	188	1	226694	None
ctg9803	9.77	0.01	Neural Network (Specific Model)	11	0.892	261401	372.8612440191388	261401	0.39	209	1	261401	None
