user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
u1379490ctg	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.31	11	0.8012	N/A
u1406723ctg	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Velamenicoccales;f__Velamenicoccaceae;g__Velamenicoccus;s__Velamenicoccus sp002421805"	GCA_002421805.1	95	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Velamenicoccales;f__Velamenicoccaceae;g__Velamenicoccus;s__Velamenicoccus sp002421805"	96.84	0.842	GCA_002421805.1	95	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Velamenicoccales;f__Velamenicoccaceae;g__Velamenicoccus;s__Velamenicoccus sp002421805"	96.84	0.842	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Velamenicoccales;f__Velamenicoccaceae;g__Velamenicoccus;s__"	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004102945.1, s__Velamenicoccus archaeovorus, 95.0, 83.13, 0.198	83.88	11	N/A	N/A
u1442673ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	28.47	11	0.80813	N/A
u1471385ctg	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
u1505661ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__JAHXGN01;g__JAHXGN01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__JAHXGN01;g__JAHXGN01;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	62.75	11	0.85476	N/A
u1558692ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__CG1-02-41-26;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__CG1-02-41-26;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	64.14	11	0.83142	N/A
u1614917ctg	"d__Bacteria;p__Firestonebacteria;c__;o__;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Firestonebacteria;c__;o__;f__;g__;s__"	taxonomic novelty determined using RED	classification based on placement in backbone tree	N/A	72.97	11	0.31148	N/A
u1630992ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__JASEJS01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__JASEJS01;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	62.21	11	0.81557	N/A
u1662440ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	66	11	0.80519	N/A
u1678369ctg	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__JAMCYU01;f__JAMCYU01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__JAMCYU01;f__JAMCYU01;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	63.62	11	0.77727	N/A
u1778080ctg	"d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__JAJFUV01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__JAJFUV01;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	25.42	11	0.84989	N/A
u1859167ctg	"d__Bacteria;p__UBA6262;c__UBA6262;o__UBA6262;f__UBA6262;g__UBA6262;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__UBA6262;c__UBA6262;o__UBA6262;f__UBA6262;g__UBA6262;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.81	11	0.95173	N/A
u1861380ctg	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.88	11	0.78926	N/A
u1868123ctg	"d__Bacteria;p__Patescibacteriota;c__Gracilibacteria;o__UBA1369;f__JBBTWW01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Gracilibacteria;o__UBA1369;f__JBBTWW01;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	11.83	11	0.74089	N/A
u1896906ctg	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UBA1406;f__GWC2-37-13;g__GWC2-37-13;s__"	N/A	N/A	N/A	N/A	N/A	GCA_002788805.1	95	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UBA1406;f__GWC2-37-13;g__GWC2-37-13;s__GWC2-37-13 sp002788805"	88.5	0.358	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UBA1406;f__GWC2-37-13;g__GWC2-37-13;s__"	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	67.85	11	0.97313	N/A
u1914727ctg	"d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__XYB2-FULL-38-15;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__XYB2-FULL-38-15;f__;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	44.66	11	0.65495	N/A
u195734ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__MFKM01;g__MFKM01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__MFKM01;g__MFKM01;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	63.78	11	0.92421	N/A
u2043327ctg	"d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__9FT-COMBO-48-23;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__9FT-COMBO-48-23;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.93	11	0.95332	N/A
u2086989ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__WO2-44-18;g__2-02-FULL-40-20;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__WO2-44-18;g__2-02-FULL-40-20;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	12.53	11	0.84347	N/A
u2118348ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__UBA9933;g__UM-FILTER-39-64;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__UBA9933;g__UM-FILTER-39-64;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	60.17	11	0.9047	N/A
u2139748ctg	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
u2176985ctg	"d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__MSB-5A5;f__RBG-16-43-9;g__JAOUFL01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__MSB-5A5;f__RBG-16-43-9;g__JAOUFL01;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	91.92	11	0.85689	N/A
u2194729ctg	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__SM23-35;g__JACAEY01;s__"	N/A	N/A	N/A	N/A	N/A	GCA_036834585.1	95	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__SM23-35;g__JACAEY01;s__JACAEY01 sp036834585"	90.05	0.441	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__SM23-35;g__JACAEY01;s__"	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	88.56	11	0.95364	N/A
u2208502ctg	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
u2212530ctg	"d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__JACPQH01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__JACPQH01;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	11.26	11	0.89835	N/A
u2326017ctg	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	79.9	11	0.6691	N/A
u2352106ctg	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
u2399920ctg	"d__Bacteria;p__Patescibacteriota;c__Gracilibacteria;o__UBA1369;f__JBBTWW01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Gracilibacteria;o__UBA1369;f__JBBTWW01;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	37.37	11	0.76309	N/A
u2520302ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__CG1-02-41-26;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__CG1-02-41-26;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	68.75	11	0.74889	N/A
u2568513ctg	"d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__XYB2-FULL-38-15;f__XYB2-FULL-38-15;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__XYB2-FULL-38-15;f__XYB2-FULL-38-15;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	75.42	11	0.79839	N/A
u2581970ctg	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.5%)
u2712678ctg	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__JAQTNM01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__JAQTNM01;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	80.14	11	0.86125	N/A
u2778928ctg	"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerobacaceae;g__CAIYOL01;s__"	N/A	N/A	N/A	N/A	N/A	GCA_903927855.1	95	"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerobacaceae;g__CAIYOL01;s__CAIYOL01 sp903927855"	86.42	0.196	"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerobacaceae;g__CAIYOL01;s__"	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_028714855.1, s__CAIYOL01 sp028714855, 95.0, 82.79, 0.183	84.49	11	0.97371	N/A
u278313ctg	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__JAMCYU01;f__JAMCYU01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__JAMCYU01;f__JAMCYU01;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	62.23	11	0.78508	N/A
u2899904ctg	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UM-FILTER-39-15;f__UM-FILTER-39-15;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UM-FILTER-39-15;f__UM-FILTER-39-15;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	60.31	11	0.6925	N/A
u3021323ctg	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	11.28	11	0.81579	N/A
u3132467ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__JAHCRE01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__JAHCRE01;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	64.87	11	0.80031	N/A
u313865ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Portnoybacterales;f__GCA-002795985;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Portnoybacterales;f__GCA-002795985;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	67.34	11	0.77712	N/A
u3143509ctg	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
u3166817ctg	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__JANLHA01;g__JAGOJP01;s__"	N/A	N/A	N/A	N/A	N/A	GCA_029560465.1	95	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__JANLHA01;g__JAGOJP01;s__JAGOJP01 sp029560465"	86.46	0.37	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__JANLHA01;g__JAGOJP01;s__"	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	84.15	11	0.97883	N/A
u3202660ctg	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.4%)
u3293539ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__UBA9933;g__UM-FILTER-39-64;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__UBA9933;g__UM-FILTER-39-64;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	62.83	11	0.9056	N/A
u3368318ctg	"d__Bacteria;p__TA06;c__DG-26;o__;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__TA06;c__DG-26;o__;f__;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	91.22	11	0.47977	N/A
u3368720ctg	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__UBA6902;f__BMS3Bbin08;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__UBA6902;f__BMS3Bbin08;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.96	11	0.79594	N/A
u3455502ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Portnoybacterales;f__GCA-002795985;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Portnoybacterales;f__GCA-002795985;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	65.97	11	0.77579	N/A
u348525ctg	"d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__SM23-28-2;g__JAUYDU01;s__"	N/A	N/A	N/A	N/A	N/A	GCA_030691665.1	95	"d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__SM23-28-2;g__JAUYDU01;s__JAUYDU01 sp030691665"	92.56	0.36	"d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__SM23-28-2;g__JAUYDU01;s__"	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	25.81	11	0.9503	N/A
u3502615ctg	"d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__RBG-16-49-23;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__RBG-16-49-23;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.14	11	0.87489	N/A
u3513788ctg	"d__Bacteria;p__UBA9089;c__CG2-30-40-21;o__CG2-30-40-21;f__SBAY01;g__SBAY01;s__"	N/A	N/A	N/A	N/A	N/A	GCA_030018635.1	95	"d__Bacteria;p__UBA9089;c__CG2-30-40-21;o__CG2-30-40-21;f__SBAY01;g__SBAY01;s__SBAY01 sp030018635"	87.48	0.184	"d__Bacteria;p__UBA9089;c__CG2-30-40-21;o__CG2-30-40-21;f__SBAY01;g__SBAY01;s__"	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	89.38	11	0.95794	N/A
u3531125ctg	"d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__"	N/A	N/A	N/A	N/A	N/A	GCA_002327985.1	95	"d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__UBA1163 sp002327985"	N/A	N/A	"d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__"	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002780715.1, s__UBA1163 sp002780715, 95.0, 84.06, 0.159	95.21	11	0.93463	N/A
u3591779ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__S141-161;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__S141-161;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	65.63	11	0.751	N/A
u3593552ctg	"d__Bacteria;p__Electryoneota;c__RPQS01;o__RPQS01;f__DYHQ01;g__DYHQ01;s__"	N/A	N/A	N/A	N/A	N/A	GCA_020724065.1	95	"d__Bacteria;p__Electryoneota;c__RPQS01;o__RPQS01;f__DYHQ01;g__DYHQ01;s__DYHQ01 sp020724065"	87.33	0.475	"d__Bacteria;p__Electryoneota;c__RPQS01;o__RPQS01;f__DYHQ01;g__DYHQ01;s__"	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	94.28	11	0.96098	N/A
u3656241ctg	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.2%)
u3662534ctg	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__SM23-35;g__JBFMAM01;s__"	N/A	N/A	N/A	N/A	N/A	GCA_040755805.1	95	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__SM23-35;g__JBFMAM01;s__JBFMAM01 sp040755805"	94.29	0.422	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__SM23-35;g__JBFMAM01;s__"	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	37.49	11	0.95332	N/A
